0 |@positive рынок:1 отторгнуть:2 можно:1 использовать:1 отметить:1 |@negative предприятие:1 надо:1 пытаться:1 положение:1
11 |@positive боевик:2 введение:1 блокада:1 владелец:2 |@negative заявить:1 юрисдикция:3 главарь:1 управление:1 сторона:1 предприятие:2 территория:3 идти:1 передать:1
12 |@positive мочь:1 лидер:1 поступление:1 |@negative терять:1 Выбор:1 заявить:1 экономика:1 привести:1 бъявить:1 предприятие:2 отметить:1 объявлеть:1 нести:1 сообщить:1 потерять:1 последствие:1
13 |@positive заявить:1 глава:1 зависеть:1 государство:1 Федерация:1 перестать:1 политика:1 |@negative ДНР:2 власть:1 заявить:2 блокировать:1 участник:1 силовиок:1 являться:1 февраль:1 определять:1 предприятие:2 подписать:1 возникнуть:1 выдвидать:1
14 |@positive думать:1 |@negative подтвердить:2 предпринимавать:1 юрисдикция:1 вечер:1 заявить:1 предприятие:1 надо:1 день:1 владельец:1
15 |@positive рынок:1 печатание:1 надо:1 собираться:1 регион:1 дефицит:1 рискнут:1 платить:2 страна:1 предприятие:1 назвать:1 вариант:1 означать:1 оказаться:1 пойти:1 быть:1 значить:1 касаться:1 расход:1 сумма:1 ВВП:2 все:1 печатать:1 |@negative заявить:1 возникать:1 мочь:1 уровень:2 такой:1 миллиард:1 установить:1 перекрывать:1 действие:1 плечо:1 схема:1 предусматривать:1 канал:1 увеличение:1 предприятие:1 назвать:1 бюджет:2 означать:1 сложный:1 территория:1 последствие:1 объем:1 нежелательный:1 фон:1 повышение:1 задача:2 что:1 ввести:1 увеличивать:3
16 |@positive шаг:1 вызывать:1 |@negative предприятие:1 условный:1 батальон:1 подтвердить:1
17 |@positive стать:1 действие:1 руководить:1 информагентство:1 источник:1 |@negative основа:1 юрисдикция:1 указывать:1 предусматривать:1 сообщать:1 правительство:1 территория:1
18 |@positive национализировать:1 бюджет:1 |@negative олигарх:2 сотрудничать:1 работать:1 очевидный:1 бесплатный:1 предприятие:2 национализировать:1 договориться:1
19 |@positive выразить:1 глава:1 перейти:1 вступить:1 Петр:1 лидер:1 результат:1 читать:1 служба:1 |@negative собственность:1 жестко:1 президент:1 одессит:1 актив:1 присвоение:1 свидетельство:1 заместитель:1 ДНР&#187:1 национализировали&#187:1 государство:1 предприятие:2 встреча:1 иметь:1 напомнить:1 требовать:1 ультиматум:1 международный:1 слово:1 рассказать:1 начать:1 законодательства&#187:1 идти:1
20 |@positive украинский:1 международник:1 комментировать:1 удивительный:1 актив:1 форма:2 вести:1 принцип:1 важный:1 собираться:1 мало:1 |@negative Россия:1 год:1 делать:1 компенсировать:1 отжим:1
21 |@positive год:1 мочь:1 поддерживать:1 тысяча:1 обстрел:1 визит:1 треть:1 политик:3 актив:1 волна:1 администрация:1 напиток:1 стать:2 дело:2 тариф:1 служба:1 отметить:1 |@negative власть:1 алкоголь:1 заставить:1 население:1 атаки&#187:1 корабль:1 отметить:1 день:3 переставать:1 структура:1 ввести:1 урегулирование:1 платить:1 успокаивавать:1 захватить:1 агент:1 столица:1 напомнить:1 передасти:1 ставка:1 усиливать:1 предприятие:2 правительство:1 создать:1 территория:2 весна:1 ситуация:1 обещать:1 повышение:1 посетить:1 ждать:1 читать:2 начать:2 стараться:1 пытаться:1
22 |@positive заявить:1 переходить:1 осуществить:1 контракт:1 Федерация:1 промышленность:1 отметить:1 прибыть:1 цель:1 намерен:2 принцип:1 предприятие:2 понести:1 сохранить:1 призывать:1 создание:1 производитель:1 опыт:1 решить:1 затягивание:1 остаться:1 начать:1 последствие:1 контроль:1 блокировать:1 обсуждать:1 остановлять:1 влиять:1 экономия:1 подлежать:1 завод:2 |@negative заявить:2 сотрудничать:1 нет:1 согласить:1 деэскалация:1 иметь:1 оппозиция:1 ближний:1 реализоваться:1 ручей:1 удерживать:1 мнение:3 заседание:1 действие:1 блок:1 легкий:1 сторона:1 работа:1 предприятие:5 назвать:1 промышленность:1 участник:1 рынок:2 перспектива:1 жертва:1 работать:1 сценарий:1 понедельник:1 отделение:1 ультиматум:1 ответственность:2 будущее:1 стать:1 предмет:1 территория:3 заморозить:1 финансирование:1 остановить:1 бизнесмен:1 Украина:1 юрисдикция:5 усугубить:1 задача:1 замораживание:1 гендиректор:1 являться:2 урегулирование:1 введение:1 ждать:1 принять:1 вынудить:1 обратиться:1 начать:1 законодательство:2 мера:1
23 |@positive тысяча:1 рабочий:1 вступление:1 арест:1 добыча:1 стать:1 добывать:1 |@negative ТЭС:1 оставить:1 наблюдать:1 грозить:1 заявить:2 выдвинуть:1 террорист:1 ускорить:1 торговля:1 уголь:1 статус:1 приостановить:1 главарея:1 провести:1 считать:1 контролировать:1 предприятие:4 захватить:1 территория:1 срок:1 остановить:1 группа:1 главарь:2 признать:1 требование:1
24 |@positive мочь:1 экономика:1 происходить:1 платить:1 страна:1 плюс:1 цепочка:1 справка:1 |@negative выявить:1 проблема:1 вводеть:1 разойтись:1 такой:1 план:1 миллиард:1 тэц:1 поле:1 шахта:2 назвать:1 перспектива:1 стоить:1 работать:1 гасить:1 хватить:1 территория:1 оголить:1 контроль:1 экономика:1 компенсировать:1 положение:1 ввести:1 идти:1
25 |@positive оплата:1 заставить:1 поставлять:1 грна:1 отчислять:1 предприятие:1 считать:1 |@negative обнародовать:1 ситуация:1 перерегистрация:1 начало:1 предприятие:1 национализировать:1 миллион:1 законодательство:1 бюджет:1 давление:1
26 |@positive гражданин:1 дело:1 сторона:1 характеризоваться:1 сообщить:1 |@negative обострение:1 юрисдикция:1 вооружение:1 обстрел:1 применение:1 предприятие:1 говорить:1
27 |@positive считать:1 иметь:1 думать:1 отторгнуть:1 |@negative юрисдикция:1 можно:1 принимать:1 управление:1 блокада:1 положение:1 рассказать:1 предприятие:1 надо:2 подпадать:1 считать:1
28 |@positive Федерация:1 войска:1 заявить:1 глава:1 вступить:1 ввести:1 являться:1 федерация:1 нести:1 собственник:1 |@negative контроль:1 юрисдикция:1 активист:1 факт:2 лицо:1 являться:1 режим:1 участк:1 актив:1 санкция:1 отметить:1 международный:1 территория:1 сообщить:1 передача:1 нарушение:1 ответственность:1 удержание:1
29 |@positive служба:1 цель:1 |@negative комментировать:1 открыть:1 требовать:1 советовать:1 утверждать:1 являться:1 предприятие:2 случай:1 рекомендовать:1
30 |@positive посадить:1 медиа:1 так:1 напомнить:1 человек:1 тысяча:1 содействовать:1 уставать:1 считать:1 капиталист:1 партнер:1 конкурент:1 мочь:1 угроза:1 нужный:1 поступать:1 обмануть:1 дорога:1 специалист:1 |@negative разряд:1 мочь:1 вопрос:1 семья:1 плюс:1 инвестиция:1 надо:1 крутиться:1 ясный:1 терять:1 рассмотреть:1 превратиться:1 платить:1 переориентировать:1 предприятие:1 бить:1 понимать:2 работать:1 пойти:1 признавать:1 эксперт:1 рад:1 остановиться:1 республика:1 ждать:1 национализация:1 завод:1
31 |@positive приводить:1 платить:1 перешести:1 сообщать:1 |@negative Аска:1 контроль:1 олигарх:1 Астелит:1 список:1 предприятие:1 завод:1 большинство:1
32 |@positive рынок:1 вопрос:1 отторгнуть:3 можно:1 возможность:1 передавать:1 |@negative предприятие:1 надо:1 располагать:1 положение:1 подчеркнуть:1
33 |@positive руководитель:1 выразить:1 редут:1 пойти:1 выражать:1 дорога:1 служить:1 быть:1 знать:1 представитель:2 |@negative отжить:1 захватывать:1 добробат:1 участник:1 выехать:1 пресечение:1 блокада:1 Донбасс:1 предприятие:1 территория:1 гвардия:1
34 |@positive исключить:1 терять:1 возрастать:1 выйти:1 сложный:1 подсчет:1 нужный:2 пострадать:1 осуществлять:1 доллар:1 дорога:2 эксперт:1 национализация:1 дать:1 остаться:1 доля:1 получать:1 нагрузка:1 |@negative оборудование:1 европеец:1 центр:1 прийтись:1 усугублять:1 производство:1 ставить:1 запад:1 миллиард:1 тысяча:1 данные:1 составить:1 уйсти:1 крест:1 можно:1 увеличение:1 рост:1 противоречиво:1 компонент:1 неясный:1 ощутить:1 уйти:2 страдать:1 решение:1 курс:1 повысить:1 стать:1 говорить:1 ситуация:1 юрисдикция:1 источник:1 остановиться:1 блокировать:1 осуществлять:1 взлет:1 исключать:1 то:1 понять:1 избегнуть:1
35 |@positive прекратить:1 |@negative Интерфакс:1 сторона:1 хватить:1 предприятие:3 захватить:1 территория:5 делать:1 организация:1 захвачеть:1
36 |@positive дело:1 |@negative предприятие:3 тот:1 территория:1 свидетельство:1 наступить:1
37 |@positive утвердить:1 урегулировать:1 конфискация:1 лишение:1 государство:1 законопроект:1 отказаться:1 проект:1 порядок:1 |@negative наказание:1 27:1 юрисдикция:1 сми:1 парламент:1 группа:1 ввести:1 свобода:1 перемещение:2 прекратить:1 ответственность:1 требование:1 предполагать:1 предприятие:1 радикал:1
38 |@positive мочь:1 олигарх:1 настаивать:1 нести:1 рассказать:1 разогнать:1 представитель:1 заявлять:1 начать:1 |@negative заявить:2 данные:1 действие:1 предприятие:1 новость:1 угроза:1 комплекс:1 день:1 принадлежать:1 отжим:1
39 |@positive нет:1 затрагивать:1 перекрыть:1 разгонять:1 часть:1 ответственность:1 резонанс:1 ничто:1 потеря:1 сохранить:1 мина:1 |@negative власть:2 батальон:1 привести:1 состояние:1 нет:1 ввести:1 игра:1 результат:1 предприятие:1 интерес:1 олигархия:1 быть:1 читать:1 готовый:1 ситуация:1 заявить:1
40 |@positive показывать:1 служба:1 обсуждать:1 подготовить:1 следовать:1 прекратиться:1 выступать:1 |@negative власть:1 ополченец:1 мочь:1 обсуждить:1 радикал:1 ведение:1 представитель:1 нацбатальон:1 ультиматум:1 заявить:1 выступать:1 предприятие:1 случай:1 заявлять:1 намерен:1 разговор:1 организация:1
41 |@positive не:1 обострение:1 достаться:1 удаться:1 ограничиваться:1 порядок:1 повести:1 мысль:1 ненависть:1 демонстрировать:1 продвижение:1 инициатива:1 %:1 вылиться:1 элита:1 тот:1 факт:1 много:1 хороший:1 оценка:1 направлять:1 понятный:1 шахидизм:1 огонь:1 отдать:1 тип:1 опыт:1 готовый:1 становиться:1 быть:1 стать:1 создать:1 подрывать:1 значить:1 ход:2 делать:1 сила:1 вектор:1 лицо:1 достижение:1 глаз:1 интерес:1 положение:1 найтись:1 бизнес:1 |@negative мочь:3 поскольку:1 виток:2 неизбеженный:1 правильный:1 начаться:1 возникать:1 неизвестный:1 защищать:1 прийти:1 разный:1 удар:1 область:1 отряд:1 смысл:1 смена:1 ход:1 человек:1 фон:2 гражданин:1 засветиться:1 вытекавать:1 Метастаз:1 чувствовать:1 открыть:1 ступать:1 падение:1 много:1 привлекаять:1 убежище:1 победа:1 бюджет:1 наглый:1 происходить:1 действительность:1 воровать:1 раз:2 она:1 народ:1 интерес:1 положение:1 что:1 вывод:1 сущность:1 нет:2 бойня:1 позиция:1 перекрывать:1 превратиться:1 можно:1 иметь:1 позор:1 столкнуться:1 учтить:1 становиться:1 часть:1 согласовать:1 обостреть:1 обозначить:1 остановить:1 неожиданный:1 обещать:1 Перекрытие:1 истерика:1 ненавидеть:1 вынудить:1 ИГИЛ:1 право:1 тема:1 действо:1 организация:1 выход:1 клик:1 болото:1 оружие:1 дойти:1 оказаться:1 менталитет:1 активный:1 деться:1 быть:1 выборы:1 сила:1 аферист:1 палач:1 читать:1 акция:1
42 |@positive рынок:1 дело:1 отторгнуть:1 транш:1 язык:1 |@negative власть:1 необходимый:1 свидетельство:1 тот:1 лидер:1 наступить:1 погашение:1 предприятие:3 начать:1 пресс-секретарь:1 тема:1 радикал:1
43 |@positive нести:1 иск:1 |@negative комментировать:1 заявление:1 включить:1 факт:1 государство:1 включать:1 руководеть:1 ответственность:1 захватить:1 предприятие:2 министр:2 являться:1
44 |@positive рынок:1 президент:1 отторгнуть:1 |@negative контроль:1 урегулирование:1 шаг:1 оказывать:1 представитель:1 ЛДНР:1 положение:1 предприятие:1 добавить:1
45 |@positive национализация:1 цель:1 экономия:1 блокировать:1 |@negative документ:1 заявить:1 мнение:1 юрисдикция:2 признак:1 участник:1 являться:1 руководствоваться:1 счеть:1 подписать:1 решить:1 вынудить:1 брифинг:1 эскалация:2 соображение:1 мера:1 считать:1
46 |@positive нести:1 иск:1 |@negative готоветь:1 заявление:1 включить:1 факт:1 являться:1 включать:1 руководеть:1 ответственность:1 предприятие:1
47 |@positive информация:1 рынок:1 отторгнуть:1 отметить:1 возможность:1 степень:1 думать:1 уверенный:1 |@negative сотрудник:1 юрисдикция:1 называть:1 отношение:1 располагать:1 положение:1 считать:1
48 |@positive предприятие:1 Россия:1 бюджет:1 считать:1 |@negative продолжать:1 ситуация:1 олигарх:1 деньги:1 блоггер:1 ведение:1 пойти:1 оплачивать:1 предприятие:3 территория:1
49 |@positive отбиваться:1 отторгнуть:2 нарушать:1 |@negative комментировать:1 действие:1 блокада:1 положение:1 надо:1 тема:1
50 |@positive означать:1 %:1 предпринимать:1 ремонт:1 право:1 партнер:1 отбиваться:1 |@negative власть:1 сровнять:1 тема:1 объявлять:1 юрисдикция:1 пытаться:1 ряд:1 встать:1 отмечать:1 Донецкий:1 получить:1 действие:1 осуждать:1 неподконтрольный:1 промышленность:1 бюджет:1 истечь:1 запустить:1
51 |@positive получаться:1 время:1 риск:2 население:1 экономика:1 боевик:1 вступить:1 активист:1 жить:1 рубль:1 Кремля:1 платить:1 присвоение:1 смена:1 ядро:1 потеря:1 армия:1 человек:1 |@negative заявить:1 осуществить:1 масса:1 привести:1 понимать:1 связать:2 житель:1 мочь:1 принадлежать:1 подконтрольный:1 экономика:1 структура:1 подчеркнуть:1 освобождение:1 предприятие:6 делать:2 год:1 волонтер:1 страдать:1 подготовить:1 территория:7 усиление:1 последствие:2 олигарх:3 находиться:1 существовать:2 минимизировать:2 шантаж:1 национализировать:2 резюмировать:1
52 |@positive мочь:1 результат:1 прийтись:1 житель:1 независимый:1 цель:1 уничтожение:1 оказывать:1 продовольствие:1 вид:1 лишиться:1 произойти:1 враг:1 работать:1 выполнить:1 выяснить:1 быть:1 действовать:1 промышленность:1 проиграть:1 возьмуться:1 человек:1 энергоресурс:1 гражданин:1 урегулирование:1 знать:1 мера:1 приносить:1 |@negative договариваться:1 перейти:1 виток:1 решать:1 выступать:1 миллион:1 ясный:1 отброс:1 трудиться:1 оставить:1 путь:1 перезапуск:1 действие:2 закон:1 схема:1 бояться:1 платить:1 помощь:3 конец:2 оценка:1 предприятие:1 бюджет:2 надеяться:1 означать:1 хотеть:1 продукция:1 блокпост:1 встретить:1 стать:1 The:1 остаться:1 начать:1 армия:1 прогноз:1 бизнесмен:1 получиться:1 делать:2 сторона:1 делить:1 партия:1 видеть:1 идти:1
53 |@positive Ахметов:1 банк:1 нет:1 серьезный:1 забрать:1 поддержка:2 подтверждение:1 передача:1 |@negative разбегаться:1 появляться:1 собственность:1 время:1 забирать:1 держатель:1 миллиард:1 Россия:1 сторона:1 начинать:1 предприятие:1
54 |@positive зона:1 Захарченко:1 уверенный:1 заявить:1 отметить:1 |@negative сотрудник:1 подконтрольный:1 юрисдикция:1 предприятие:2 делать:1 предупреждать:1
55 |@positive пересылать:1 федерация:1 день:1 мочь:1 |@negative заверить:1 заявить:1 юрисдикция:1 уточнить:1 республика:1 нет:1 являться:1 1:1 намерен:1 предприятие:3 транспортировать:1 завершиться:1
56 |@positive портать:1 дело:1 глава:1 |@negative свидетельство:1 тот:1 подчеркнуть:1 наступить:1 предприятие:3 территория:1
57 |@positive соглашение:1 антрацать:1 условие:1 востребовать:1 Ринат:1 платить:1 экспортировать:1 стать:1 навязать:1 |@negative комментировать:1 журналист:1 брать:1 мочь:1 нафаршировать:1 уголь:1 налог:1 нуждаться:1 прекратить:1 процесс:1 предприятие:3 сообщить:1 штаб:1 политикум:1 власть:1 располагаться:1 территория:3 металл:2 разговор:1 количество:1 компания:1 глава:2 область:1 начать:1
58 |@positive  |@negative состав:1 данные:1 оставаться:1 сообщать:1 прибыть:1 напряженный:1
59 |@positive власть:1 договоренность:1 русофобия:1 население:1 рынок:1 обеспечение:1 Федерация:1 читать:1 вырасти:1 путь:1 большой:1 русл:1 погибнуть:1 перейти:1 статус:1 издание:1 работать:1 понятный:1 бизнес:1 Ахметов:1 то:1 операция:1 фигура:1 работа:1 скорость:1 присягасть:1 решение:1 переориентация:1 рельс:1 территория:1 справяться:1 защищаться:1 делать:1 предполагать:1 начать:1 весна:1 |@negative власть:2 время:1 семья:1 неутомимый:1 обязательство:1 авантюр:1 путь:1 условие:1 страх:1 лидер:1 депутат:1 мотив:1 интеграция:1 поддержка:1 стремление:1 предприятие:2 премьер-министр:1 ссылка:1 сложный:1 наполнять:1 сопротивляться:1 сократиться:1 стать:1 день:1 так:1 количество:1 вредить:1 республика:1 бюджет:1 сила:1 перекрыть:1 язык:1 политика:1 начать:1 увеличивать:1
60 |@positive расширяться:1 требовать:1 отторгнуть:1 федерация:1 объявить:1 говорить:1 |@negative открыть:1 иметь:1 заявить:2 отношение:1 Действия:1 ультиматум:1 положение:1 освобождение:1 предприятие:4 территория:3
61 |@positive блокирование:1 показывать:1 Служба:1 перехватить:1 куратор:1 |@negative власть:1 обнародовать:1 мочь:1 юрисдикция:1 террорист:1 планировать:2 назнатить:1 доказывать:1 управление:1 организация:2 “ультиматумов”:1 сообщать:1 намерение:1 территория:1 остаться:1 заявить:1 “ДНР”:1 снять:1
62 |@positive нести:1 закреплять:1 |@negative заявить:1 Пао:1 ведомство:1 промышленность:1 Донецксталь:1 предприятие:3 завод:1 администратор:1 территория:1 назначить:1
63 |@positive разговаривать:1 состояться:1 читать:1 |@negative президент:1 раз:1 взаимоотношение:1 противостояние:1 выяснить:1 сторона:2 страна:1 состояться:1 провести:1 предприятие:1 национализация:1 тема:1 разговор:2
64 |@positive предприятие:1 входить:1 поступать:1 |@negative грозиться:1 юрисдикция:3 завод:1 организация:2 решить:1 предприятие:1 заявлять:1 руководство:1 действовать:1 территория:2
65 |@positive вещь:1 мотив:1 куратор:1 показать:1 |@negative Днр:1 планировать:1 Захарченко:1 делать:1 использовать:1 становиться:1 все:1 предприятие:1 нужный:1 территория:1 остаться:1 объяснять:1 организация:1 понятный:1
66 |@positive исключить:1 терять:1 возрастать:1 выйти:1 сложный:1 подсчет:1 нужный:2 пострадать:1 осуществлять:1 доллар:1 дорога:2 эксперт:1 национализация:1 дать:1 остаться:1 доля:1 получать:1 нагрузка:1 |@negative оборудование:1 европеец:1 центр:1 прийтись:1 усугублять:1 производство:1 ставить:1 запад:1 миллиард:1 тысяча:1 данные:1 составить:1 уйсти:1 крест:1 можно:1 увеличение:1 рост:1 противоречиво:1 компонент:1 неясный:1 ощутить:1 уйти:2 страдать:1 решение:1 курс:1 повысить:1 стать:1 говорить:1 ситуация:1 юрисдикция:1 источник:1 остановиться:1 блокировать:1 осуществлять:1 взлет:1 исключать:1 то:1 понять:1 избегнуть:1
67 |@positive исключить:1 терять:1 возрастать:1 выйти:1 сложный:1 подсчет:1 нужный:2 пострадать:1 осуществлять:1 доллар:1 дорога:2 эксперт:1 национализация:1 дать:1 остаться:1 доля:1 получать:1 нагрузка:1 |@negative оборудование:1 европеец:1 центр:1 прийтись:1 усугублять:1 производство:1 ставить:1 запад:1 миллиард:1 тысяча:1 данные:1 составить:1 уйсти:1 крест:1 можно:1 увеличение:1 рост:1 противоречиво:1 компонент:1 неясный:1 ощутить:1 уйти:2 страдать:1 решение:1 курс:1 повысить:1 стать:1 говорить:1 ситуация:1 юрисдикция:1 источник:1 остановиться:1 блокировать:1 осуществлять:1 взлет:1 исключать:1 то:1 понять:1 избегнуть:1
68 |@positive позиция:1 тысяча:1 |@negative время:1 ввод:1 вооружение:1 нанести:1 вести:1 силовик:1 предприятие:1
69 |@positive Кремль:1 вопрос:1 наблюдать:1 провалиться:1 поставщик:1 возможный:1 кризис:1 попытка:2 поставка:1 достоверность:1 забывать:1 платить:2 поведение:1 отбирать:1 0:1 новость:1 дело:1 далёк:1 выполняуть:1 потеря:1 считать:2 сложный:1 заявление:1 продукция:1 блокадник:1 разбегуться:1 признавать:1 правительство:1 мешать:1 отрасль:1 выполнять:1 получаться:1 статус:1 кормить:1 оформить:1 провокатор:1 положение:1 завод:1 угрожать:1 |@negative виноватый:1 власть:1 квартира:1 металлургия:1 обеспокоить:1 складываться:1 усилинуться:1 житель:1 долгий:1 пример:1 Незаявленный:1 отвечать:1 отожать:1 продвигаваться:1 энергосистема:1 дать:1 смена:1 освободить:1 неприятный:1 соглашение:1 подвехать:1 серьёзной:1 стрелять:1 лечь:1 действие:1 национализация:1 собственник:1 высокий:1 можно:1 вина:1 освобождение:1 должен:1 колено:1 делать:1 социалка:1 считать:1 отдать:1 предпринимать:1 начало:1 измениться:1 продукция:1 уйти:1 образ:1 газ:1 шахты:1 подняться:1 боец:1 нужный:1 территория:1 продолжаться:1 завершение:1 зависеть:1 республика:1 блокировать:1 использовать:1 перекрыть:1 весь:1 объявить:2 блокада:1 дорожать:1 вырасти:1 призывать:1 популярный:1 начать:1 отжать:2 энергетика:1
70 |@positive журнал:1 весна:1 утверждать:1 оригинал:1 |@negative комментировать:1 следовать:1 спецслужба:1 принять:1 заинтересованный:1 предприятие:2 то:1 сообщить:1
71 |@positive предприятие:1 поступить:1 осуществлять:1 выплачивать:1 |@negative с:1 юрисдикция:2 истечение:1 действие:1 управление:2 сохранять:1 ультиматум:1 объявить:1 стать:1 Донбасс:1 ответ:1 предприятие:4 захватить:1 день:1 завод:1 такой:1
72 |@positive остаться:1 заявить:1 осуществить:1 юрисдикция:1 производитель:1 несуть:1 иметь:1 контракт:1 призвать:1 платить:1 входить:1 выразить:1 решить:1 принцип:1 предприятие:2 создавать:1 начать:1 намерен:1 опыт:1 промышленность:1 подлежать:1 |@negative власть:3 обречь:1 сотрудничать:1 сказать:1 согласить:1 ближний:1 промышленность:1 отметить:1 подчеркнуть:1 выступать:1 территория:1 удерживать:1 мнение:1 шахта:1 блок:1 оппонент:1 управление:1 переориентировать:1 работа:1 предприятие:2 назвать:1 вызвать:1 бюджет:1 рынок:2 министерство:1 работать:2 сценарий:1 отделение:1 легкий:1 поставлить:1 быть:1 предмет:1 радикал:1 заморозить:1 подчеркивать:1 финансирование:1 компания:1 контроль:2 бизнесмен:1 Украина:1 юрисдикция:1 усугубить:1 задача:1 использовать:1 оппозиция:1 призвать:1 урегулирование:1 ждать:1 республиок:1 обратиться:1 завод:2 законодательство:1 действие:1 ответственность:2
73 |@positive принять:1 |@negative предприятие:1 заявить:3 реестр:2 издание:1
74 |@positive куратор:1 служба:1 обсуждать:1 |@negative власть:1 выразить:1 касаться:1 Аска:1 рудоуправление:1 список:1 предприятие:2 распределить:1 попасть:1 составлять:1 национализировать:1 неконтролируть:1 союз:1 филиать:1 передать:1
75 |@positive заявить:1 глава:1 население:1 вступить:1 блокиревать:1 рост:1 стать:1 министр:1 дело:1 думать:1 |@negative заявить:1 грозить:1 актив:2 начаться:1 надо:1 истечь:1 обстрел:1 ввести:2 факт:2 техника:1 грубый:1 нести:1 встреча:1 произойти:1 доказательство:1 военнослужащий:1 решение:1 предприятие:4 санкция:1 международный:1 контроль:1 участок:1 являться:2 режим:1 февраль:1 нарушение:2
76 |@positive информация:1 средство:1 требование:1 конфисковать:1 ответ:1 бизнес:3 уничтожить:1 |@negative власть:1 оставить:1 удаться:1 работать:1 отпустить:1 превратиться:1 прекратить:1 выдвинуть:1 предприятие:1 назвать:1 территория:1 обмен:1 считать:1
